Speciesname,Total observations,Unique locations,Bodø,BelgianCoast,Galway ,Gdynia,Getxo,Koster,Laeso,Limfjord,Plymouth,Roscoff,SwedishWestCoast,TZS,Vigo,Errors
Igernella notabilis,103,62,6286942,5764927,4915276,6742195,5443122,6198197,6224171,6103820,5284393,5306257,6224708,6852733,4991213,
Ischyrocerus anguipes,848,526,3972,281598,33460,435613,430178,8723,14167,66640,10108,54880,38333,697466,1373,
Ischyrocerus minutus,20,13,157594,1693904,1882159,1321721,2707130,801845,981117,1036284,1996580,2161854,858002,863955,2967789,
Jaera ischiosetosa,181,116,439646,56622,339773,87536,774336,17175,196795,234662,21142,179079,78412,350554,910111,
Jassa falcata,1908,1139,39507,19184,33460,408407,210802,17156,37273,165610,863,52349,16372,701457,1373,
Jassa herdmani,67,48,101275,12591,6069,694529,513071,559546,399381,312728,185596,6449,514488,1013960,60453,
Jassa slatteryi,472,84,2683270,835869,1143893,1787218,192332,1787246,1640717,1536736,672556,498629,1749922,2346974,4881,
Jujubinus striatus,448,322,319934,126885,309073,709326,63889,1050590,945395,830956,31153,1425,1046111,1111641,2115,
Kirchenpaueria pinnata,2998,2241,351683,80261,214,409584,568782,721,6471,138568,719,1032,4609,685531,253684,
Lacuna vincta,5476,4023,2135,24785,3345,380974,214751,427,6471,109216,988,8241,1409,428376,294109,
Lagenidium caudatum,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Laomedea calceolifera,63,59,1521940,104241,386320,1199627,568782,869703,846067,718325,148678,41521,876420,1567826,800347,
Laomedea flexuosa,1116,935,15468,69538,15522,298201,511770,659,114111,166795,1123,41521,9828,57200,800347,
Laonice cirrata,5386,2739,27427,23403,204741,436584,324788,8559,6471,66640,72345,2484,4799,682226,1373,
Laophonte longicaudata,219,146,948779,23403,564810,607663,985709,917,114111,173052,491078,569137,9828,697471,1339940,
Lebbeus polaris,2410,1448,3010,517356,743219,587838,1507959,3211,99081,172405,803350,960876,11506,674969,1771488,
Leimia vaga,2,2,5109675,4953516,4086699,5799591,4896647,5189651,5250788,5144418,4533838,4603935,5226558,5788217,4517345,
Lepadogaster candolii,425,368,1443954,311834,4746,1038817,109808,963582,986357,871793,2091,1216,985950,1647182,5304,
Lepidonotus squamatus,7091,5346,4699,7977,6069,401348,290440,479,6471,113322,4853,46349,5397,673572,2390,
Leuckartiara octona,573,373,365415,13494,168601,405808,533864,621,6471,123446,4291,41521,11156,685975,661858,
Limacia clavigera,3258,2584,3243,81886,293,435873,65831,117,43698,115518,1041,26489,4990,685435,1043,
Limanda limanda,20055,5537,37847,3208,2877,19652,346690,757,9772,37939,934,1216,6504,250846,429347,
Limapontia senestra,189,170,317227,45146,41884,767969,676533,200402,210424,148728,30944,125869,203989,896246,871605,
Lineus bilineatus,48,44,923502,134648,246213,583862,895292,247,82207,189613,283741,460458,7313,679961,1198947,
Liocarcinus navigator,1818,909,2350,6305,3187,468173,22660,479,6471,52374,9365,1418,8086,674969,1373,
Liparis montagui,409,381,2350,25666,43607,387693,343221,277,57704,43706,1558,1216,10906,696880,643787,
Littorina littorea,25729,15349,976,43535,2555,300039,100020,593,14167,6295,670,1425,4729,893,762,
Lizzia blondina,154,84,908374,13494,419215,417031,599435,225564,49373,105954,3835,1032,171052,741829,806712,
Lumbricillus lineatus,489,345,28127,50882,41142,4860,100790,1486,41041,14694,173357,1238,12307,18091,36635,
Lysilla loveni,4444,3684,19692,23403,215205,406450,765140,2206,42062,151385,45940,172684,547,681421,977698,
Macrochaeta clavicornis,1706,927,30774,210325,203785,489382,443836,4322,57595,150168,67061,109282,1409,684410,2390,
Magelona johnstoni,6264,4734,1002616,9593,240515,504919,115291,55337,56399,166795,2086,165535,12244,705546,602555,
Magelona mirabilis,3332,1813,932013,11807,80265,405808,115437,8729,35634,152774,1511,7453,68669,703556,1373,
Malmgrenia lunulata,4308,3719,730142,18310,213725,472826,322584,621,6471,138568,30851,7451,548,681885,1373,
Marthasterias glacialis,18137,11833,121775,24346,53,409584,5293,62,6471,93993,738,2054,4119,413815,1373,
Mediomastus fragilis,17020,9062,19085,17790,240515,405808,115437,10498,58291,150145,1613,2484,71453,678959,1373,
Melinna palmata,7351,2782,890614,76019,32604,737883,209094,73277,248697,298866,983,5468,134268,716261,1373,
Membranipora membranacea,9727,7669,2350,28524,293,280824,317922,593,6471,109992,119,2054,9561,452934,18261,
Mesochra pygmaea,116,91,811624,33064,352912,607663,944523,1280,114111,209457,165659,343697,9828,696844,1087441,
Metridium dianthus,8625,6139,412910,62925,2874,401965,621637,32509,29747,140953,719,123977,11082,669195,867432,
Microdeutopus gryllotalpa,1072,440,844985,33790,48201,348083,133644,2735,22503,136384,66096,152206,31215,683529,621071,
Microporella ciliata,1870,921,16277,37557,167398,525866,247418,7642,35798,149258,2272,129783,16365,701801,518409,
Microprotopus maculatus,1476,889,527855,12393,181921,473768,372228,129631,52685,166795,8594,1269,68975,708365,728385,
Micrura fasciolata,68,61,584279,236663,310553,383335,494960,153,6471,138568,100939,192118,7313,682680,39074,
Ministeria vibrans,95,52,805601,309043,511871,713142,770128,266218,280043,195914,16491,167820,275957,893190,676864,
Mitrocomella polydiademata,144,131,412535,593539,442324,562272,1468401,70361,48946,170202,682210,866102,11464,703639,1599019,
Modiolula phaseolina,3875,2589,4680,7977,4376,416564,214751,639,6471,134741,4928,53184,9786,554433,4058,
Modiolus barbatus,951,655,885660,7977,2555,735536,101759,347626,270083,137917,7657,33257,335455,1024334,1373,
Monocorophium acherusicum,4314,3495,1085625,17305,6069,671696,99448,458205,304298,209858,1558,65918,415229,1045237,139345,
Monocorophium insidiosum,1560,713,564666,45919,29061,348083,99448,479,48929,152840,3864,184161,12105,676288,139345,
Musculus costulatus,369,282,1054778,104423,3345,1053853,179703,706123,784810,678676,21259,53184,747049,1336125,26602,
Musculus subpictus,5628,4541,278728,56294,2555,441138,214751,479,6471,95750,819,4715,5397,677503,294109,
Myrianida brachycephala,81,62,892959,128729,345761,607148,485691,27288,109210,204086,63761,54880,14161,694700,2390,
Myrianida edwarsi,92,79,468163,52570,299969,498397,443921,479,40389,170691,1950,155918,14161,694700,2390,
Myrianida hesperidium,1,1,2843641,1023929,1534155,1748305,511183,1905552,1738553,1658432,1039484,886728,1858236,2368963,981819,
Myrianida inermis,74,51,903281,477862,301260,1025171,753635,366216,477632,433769,3356,155918,412223,1002470,876076,
Myrianida langerhansi,81,76,1018104,102779,369901,607119,746963,74323,109423,204356,33275,155918,13960,701674,957303,
Myrianida longoprimicirrata,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Myrianida prolifera,715,439,405372,22711,295663,410201,443836,56097,40389,155148,31252,52349,14161,698879,2390,
Myrianida rubropunctata,9,9,1702699,286467,333088,1207242,485691,892146,802151,671497,103207,54880,875842,1561961,2390,
Mytilus edulis,66763,34223,1464,3208,2555,14956,25562,593,13929,6769,670,1979,547,57480,41310,
Nais elinguis,3702,2827,28127,44984,40398,19384,4458,2743,63042,16486,30526,177761,11581,184,62639,
Nannonyx goesii,2881,2643,1397717,372177,244627,671696,767567,458205,304298,209858,65852,173457,415229,1045237,918503,
Nassarius incrassatus,394,173,231021,70084,380732,483922,415200,25222,54691,177383,31788,130093,548,695565,716951,
Nassarius nitidus,1369,279,289746,62455,930477,393163,431950,32914,42334,171173,566893,630510,11857,680052,396628,
Nephtys hombergii,30135,10590,19085,12718,11507,323421,99448,621,6471,65160,983,1345,548,680365,2390,
Nephtys kersivalensis,5704,2394,84182,10527,242125,409068,280375,3667,43460,166795,1234,2484,640,684771,691472,
Nereimyra punctata,4486,2802,19085,23403,108017,378340,402801,247,15742,144288,1950,1269,5397,675667,696264,
Nereis pelagica,2821,1947,8165,9849,11722,243511,511879,479,6471,52374,719,55572,8506,507475,55651,
Nicolea zostericola,855,451,30774,81886,58961,378340,680099,5043,18864,144288,719,128838,12409,693109,873467,
Nitokra spinipes,63,60,116777,69794,489367,657201,907186,1280,180580,251930,145345,315147,61183,2953,1115769,
Normanella mucronata,121,87,949138,23403,658346,607663,1013740,1280,114111,209457,491078,571177,9828,696844,1358979,
Normanella obscura,10,6,1429441,394083,1010238,688347,1421261,516181,387627,268218,824316,945215,483401,1124159,1749598,
Nucula sulcata,3336,1578,16074,79156,72247,394727,415564,556,6471,94457,1011,98291,548,664917,110273,
Obelia bidentata,487,404,1285039,12393,364404,652547,451479,415485,288323,166795,71609,102045,381978,1033456,728678,
Obelia dichotoma,2258,1504,317989,55834,14689,424210,332722,1184,29573,158844,719,11161,4515,690430,488107,
Obelia geniculata,7319,5644,3993,79142,7767,348083,103493,659,14167,58630,738,3401,10352,670271,44395,
Obelia longissima,1403,1091,365415,51657,40686,401348,107539,621,29573,149258,12417,8531,11156,693251,594160,
Ocinebrina aciculata,414,346,1311504,67170,295851,1020657,63889,778341,788273,662284,59418,1425,800886,1463649,9105,
Octobranchus lingulatus,18,10,2368550,638469,662738,1520756,510648,1550837,1437587,1314386,224485,53320,1527244,2162450,759160,
Oerstedia dorsalis,478,254,308158,100308,299969,583862,601513,299,82207,189613,1222,2484,6449,678070,766293,
Oithona similis,96037,55695,310598,NA,347911,186674,NA,66622,24481,NA,1150,183449,NA,318830,NA,
Omalosecosa ramulosa,1262,954,189404,134327,12903,516934,108549,32527,112040,202254,2074,5528,8506,235949,595546,
Onchidoris bilamellata,2021,1589,4738,49703,35980,486814,588363,20239,6471,122028,3579,131651,14655,677566,875067,
Onchidoris muricata,7382,3978,3243,111016,85234,406776,443857,3141,6471,66862,1587,53184,6780,691658,721252,
Onoba semicostata,3684,2325,6126,46603,3345,454595,97076,2344,6471,116126,918,1269,3979,554433,2390,
Opercularella lacerata,240,223,419315,58984,17978,408824,682509,75921,57309,166795,32282,170289,14885,699104,918709,
Ophiocomina nigra,7133,4587,4652,137579,2681,383823,106010,479,6471,138568,983,5471,11156,680786,6553,
Ophiopholis aculeata,8869,6793,4252,7977,28983,383335,480489,479,6471,43706,1109,124382,5192,678247,733251,
Ophiothrix fragilis,14910,10237,4700,7977,2341,304019,33245,621,6471,43706,716,1476,7264,650797,1373,
Ophiura grubei,28,22,3188947,1341523,1670631,1978586,464316,2265475,2105076,2015287,1218222,1039292,2221716,2522833,781437,
Ophlitaspongia papilla,758,512,1141177,131321,2555,1216556,512736,756381,795539,663060,806,3193,792802,1404074,59782,
Ophryotrocha hartmanni,1793,360,120535,285039,345015,954280,785093,370041,410713,298909,1950,183007,416680,885586,772245,
Ophryotrocha puerilis,136,80,350416,354080,292224,1027339,767073,366856,481145,439424,1628,183725,413697,834306,726541,
Orchomene humilis,3313,2817,105731,82698,179660,667901,443836,3249,167789,209858,1865,1345,55460,700189,709899,
Oscarella balibaloi,18,16,2679803,913355,1481762,1477564,566563,1730353,1554302,1494843,981168,843297,1677316,2120191,765040,
Oscarella viridis,24,21,2679803,913355,1475379,1477564,528455,1730353,1554302,1494843,975581,834597,1677316,2120191,990405,
Oxydromus pallidus,386,177,849355,83838,244627,782738,133700,224178,226267,150856,8621,54019,226945,919891,621119,
Palaemon elegans,3923,2394,450094,43420,6069,86555,5334,760,41501,71797,786,1746,7596,425,1279,
Pandalina brevirostris,1958,1048,119960,9846,244627,383335,151976,621,6471,52374,66321,1418,12336,674969,46084,
Paracalanus parvus,12161,3608,412162,10868,355505,186674,17923,41377,24481,105954,1150,54433,7381,335577,375510,
Paracaprella pusilla,107,59,4240021,3362549,4203830,2871838,3413296,3528516,3383328,3433705,3731396,3652684,3470256,3321065,3859654,
Paracentrotus lividus,4263,1941,890562,118256,3345,738851,5287,74012,249133,298803,1547,2067,134952,717298,1373,
Parachironomus gracilior,233,160,356863,168590,373410,293678,891111,380109,264803,374102,148905,329418,323692,18563,1082784,
Paradoneis lyra,18580,6872,21098,62707,244627,378340,100131,2383,51311,66640,1613,2484,7527,688857,1373,
Parajassa pelagica,235,155,97739,223628,214515,479842,513093,22622,40803,155172,31530,123545,11558,699244,55971,
Paranais litoralis,1037,648,28147,46810,234003,5685,9128,1486,85346,16486,32672,1238,11581,184,62639,
Patella aspera,217,174,1393862,227568,198262,1046690,377929,861654,878710,763027,31788,96739,881757,1550072,44395,
Pectinaria koreni,7033,5355,19085,9846,715804,323421,210802,677,6471,114089,224681,217494,547,677641,198464,
Pedicellina cernua,254,194,321146,335838,253667,1149324,768486,524997,701289,654217,21388,174532,586116,877421,870352,
Penilia avirostris,5195,2406,840780,33331,285726,473768,18728,6021,47161,39810,87179,72756,7381,690870,57592,
Perforatus perforatus,2938,1721,1283158,59619,21117,838334,210802,684652,538358,433648,611,1689,645978,1274357,1510,
Peringia ulvae,68507,12621,4680,24785,3345,8369,33840,427,22541,6940,2004,29611,9828,183,25890,
Perophora japonica,390,255,1608191,58238,244054,1023309,470267,869804,769846,645500,756,64675,858560,1506507,745579,
Phallusia mammilata,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Phallusia mammillata,1956,1109,1531451,110185,43755,1073381,205590,869804,794191,661937,1711,2189,858571,1550872,2390,
Phialella quadrata,543,332,943244,13494,240515,540320,290338,947,58973,178600,1109,4237,36869,649140,717833,
Philactinoposthia ischiae,6,1,2951380,1486280,2259074,1567762,1432499,2028615,1849514,1833420,1766704,1668655,1968650,2221947,1901342,
Philine aperta,4841,3316,894966,73151,209912,378340,210802,2400,6471,109470,3690,28942,547,673572,144984,
Pholoe inornata,18877,9082,4050,42301,29174,378340,279044,3534,51311,28666,902,2484,4799,682226,2390,
Phoronis muelleri,14110,5892,30319,81420,291276,378340,447294,3149,26984,157806,31253,5468,548,677406,718667,
Phtisica marina,7736,5204,30774,22096,159279,383335,99448,6590,29573,151640,918,2484,10312,683868,1373,
Phyllodoce laminosa,528,341,175468,23403,18565,525586,100131,444652,299241,230269,735,2484,422583,834417,2390,
Pilumnus hirtellus,3644,2361,486345,5965,13185,316764,22660,22714,99492,43706,738,1269,9699,686613,1373,
Pisidia longicornis,12943,8277,471889,4180,11722,459368,22660,639,6471,38928,689,1156,9511,603718,1373,
Pista cristata,7901,4089,20958,23403,227922,381980,324788,621,6471,66640,1234,1269,4799,662486,1373,
Platynereis dumerilii,3279,1685,37892,51657,6069,378340,99884,247,6471,115030,918,2484,8087,690430,1373,
Pleopis polyphemoides,2614,583,382988,60658,928102,186674,432719,28166,49373,105954,561061,623184,7381,1664,779073,
Pleurobranchus membranaceus,493,377,486091,23403,53,610631,494545,29224,113042,199994,1597,53184,10352,679764,574985,
Plumularia setacea,3219,2322,898895,64579,2555,503959,NA,1477,39226,170142,716,1032,32823,699475,144434,
Polititapes aureus,1149,807,472219,57705,3345,509786,28342,310,35898,149070,50135,5478,3979,686400,762,
Polycera capitata,15,12,457848,511727,506550,931375,469310,310238,374059,306434,4928,90760,339329,838945,120620,
Polycera quadrilineata,3486,2790,3955,59705,10831,382077,87965,3141,6471,47122,840,1319,6779,685435,3939,
Polycirrus norvegicus,4825,2370,17864,141828,250204,449262,747395,9067,53063,154666,31252,152850,65316,693590,869356,
Polydora cornuta,5793,3892,840048,20007,181698,270810,100454,29079,29573,158844,4165,169914,30062,691856,586420,
Polygordius appendiculatus,3288,2970,442559,12145,296431,520245,332722,189733,41344,166795,92570,10376,128870,725955,675468,
Pomatoceros triqueter,1170,597,471745,18715,214,417360,210802,7425,6471,10573,81041,52349,35007,673572,1373,
Pomatoschistus microps,13370,2308,469452,9849,2869,21798,122732,2369,52938,19547,877,1216,8111,394,36282,
Praunus inermis,377,310,77663,25331,247235,257754,510465,5043,35281,136784,98777,6449,51625,394,720023,
Protodrilus ciliatus,7,4,1171818,505841,362591,1495750,603403,1044193,1066046,933557,183083,1596,1089018,1633343,812619,
Psamathe fusca,3881,2089,38134,28169,15902,466228,346856,247,93634,150856,1587,2484,7005,691170,1373,
Psammechinus miliaris,10899,7995,6098,3208,2877,407330,104430,52411,6471,13073,728,2054,5397,684365,2390,
Pseudocalanus acuspes,1534,313,1061416,798619,1236110,767097,1824221,190378,209447,155430,1178485,1321030,196400,887070,2132840,
Pseudocalanus elongatus,32133,26343,317439,10868,79766,186674,17923,41377,13874,40166,1150,14378,63484,1664,30421,
Pseudopotamilla reniformis,1626,1075,30774,68078,261871,389462,416144,2082,36610,157469,1950,11161,59170,689458,604919,
Psylla buxi,1733,1471,748918,53933,371511,227066,227513,119788,57386,183569,126741,306103,75945,292553,704609,
Pterocirrus macroceros,490,229,455443,198176,92154,1102822,435514,509266,589354,514806,1121,53184,546985,1137996,678833,
Pusillina inconspicua,1207,973,14405,57554,3345,428819,32870,8415,41722,145814,2253,54880,10324,554433,2390,
Pusillina sarsii,702,523,30116,212697,3345,278273,468614,2703,48929,54871,2253,100934,8108,541457,707554,
Pythium chondricola,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Radix balthica,23849,13355,35367,44408,8386,242460,94436,12969,61694,59645,147968,100384,18128,292,562070,
Raphitoma concinna,180,147,466908,281987,297700,607119,42617,427,109423,204356,576681,599995,9828,677627,530336,
Raspailia ramosa,4181,2910,1393338,43712,53,1064231,336887,870700,783415,659158,719,3058,867365,1539948,22984,
Rhabdodemania major,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Rhachotropis inflata,202,146,133878,1439841,1091870,1248524,2228549,647987,826686,857574,1442733,1626207,708502,910985,2321933,
Rhizothrix curvata,60,33,944956,23403,713955,607663,932222,6504,114111,209457,383577,470989,9828,697471,1269327,
Rhizothrix minuta,24,13,810761,43585,353538,668261,940016,1280,180580,251930,159026,338580,61183,696844,1087484,
Rhyssoplax olivacea,472,295,1593063,371815,438023,1048117,137021,1023665,1015510,890562,224681,219412,1036185,1707934,395886,
Rissoa lilacina,567,466,110716,115331,3345,575527,63889,5943,44997,109280,2253,1345,9786,554433,1373,
Rissoa parva,9210,6329,15371,44361,2555,468209,32870,593,54503,147942,1511,1425,1409,428376,2115,
Ruditapes decussatus,1532,1039,189176,41605,3992,606284,26830,14076,111900,207806,1950,1425,12008,686400,1334,
Sabellaria spinulosa,7851,3975,902162,23403,45357,547055,124471,2082,56344,183705,716,6171,22640,686126,612107,
Sagartia troglodytes,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Sarcophaga crassipalpis,117,56,2547001,1051383,1352689,1149311,519877,1639992,1463627,1462294,1078634,914572,1579157,1802174,119419,
Sarsia lovenii,33,23,209802,437599,316451,591799,1137426,71001,112450,180091,351323,535039,9828,697471,1283715,
Sarsia tubulosa,416,260,155203,12974,317178,417031,568782,650,52707,163800,83944,41521,8996,687838,800347,
Schistomysis kervillei,4070,3159,1229349,11813,283642,665370,237828,415485,288323,166795,160228,217282,381978,1045237,576904,
Schizoporella japonica,286,200,563931,418169,307005,741149,785649,109159,192215,155303,119,183479,134309,806801,970896,
Scopalina ceutensis,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Scruparia ambigua,234,171,308351,92695,170398,529660,740607,37868,39944,166480,37441,157880,29531,710520,908597,
Scrupocellaria scruposa,2049,1375,401861,63703,46431,478722,528144,603,19234,76346,719,144031,8506,683868,638934,
Scyliorhinus canicula,21578,11272,115640,7977,421,294002,101634,30396,43619,26724,758,1216,10524,368979,1286,
Sirsoe methanicola,20,13,7741062,7727908,6860428,8560719,7603269,7934850,8007337,7905568,7299597,7360134,7975250,8498196,7186022,
Sparus aurata,2797,1076,1281791,22701,22294,483625,101634,337773,157749,184692,70319,1746,279329,832865,9948,
Spatangus purpureus,1992,1508,19671,4310,24654,455608,375347,479,6471,43706,27755,8531,11510,691273,2390,
Spio decorata,5112,1896,103287,111738,95726,665370,100131,48450,225107,166795,1670,5468,109476,709497,1373,
Spio symphyta,4243,1805,443796,86240,60441,674158,115291,474839,328823,224029,1613,80444,435100,843825,602555,
Spiralinella spiralis,709,604,13830,46050,3345,551840,33840,70251,6471,64981,2253,104298,9786,554433,34793,
Spirontocaris phippsi,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Spisula subtruncata,11760,6820,13971,3951,11507,78337,99448,827,6471,17050,2086,7451,547,554433,12996,
Sprattus sprattus,14478,4268,375859,3346,46501,19652,210802,4550,29871,37939,4947,1216,11908,390,110707,
Squalus acanthias,100000,31822,38915,49372,NA,445633,NA,9418,32470,107484,46938,190365,11289,687243,NA,
Squalus blainville,336,269,2658214,947603,1604283,1282336,NA,1708649,1532278,1473940,1139304,1029209,1655364,1921387,NA,
Stenothoe monoculoides,3676,3107,97739,23403,6069,520131,501160,5334,47927,173052,1222,93673,14105,682226,718239,
Steromphala cineraria,20827,14115,3404,7977,2341,435280,63889,639,6471,25125,660,1269,4453,428376,762,
Sthenelais boa,6385,4429,30774,12718,97522,507968,308416,11533,56650,173696,918,1413,32823,699511,1373,
Stomphia coccinea,541,484,310331,288401,291737,396454,724797,8255,29573,47290,470,184269,13008,693918,971636,
Streblospio benedicti,2395,1199,1067363,27780,804226,23060,319906,131128,56962,189478,318577,237155,69887,501988,730712,
Streptosyllis websteri,4250,3574,941758,10269,249449,272842,322558,192956,47755,156411,2439,96128,131717,710690,732222,
Strongylacidon bermudae,,,,,,,,,,,,,,,,ERROR while getting the occurence data
Strongylocentrotus droebachiensis,8533,7251,1464,7977,294747,383823,785539,639,6471,43706,1950,183285,5409,674969,969740,
Subadyte pellucida,360,252,1101615,60359,240515,1100486,443857,728073,662363,530328,1587,2484,729859,1371446,646731,
Syllidia armata,2479,1460,30774,16543,97522,496809,324503,4322,55474,170343,918,2484,1409,676635,1373,
Syllis armillaris,2831,1814,27528,12718,92154,410201,435514,621,6471,133327,1950,11161,17160,683695,714699,
Tachidiella minuta,270,153,1013466,23403,363148,607663,851725,71001,114111,173052,202644,295546,9828,697471,928749,
Tachidius discipes,604,150,377626,23403,362665,391113,907186,2459,170566,214184,145345,315147,60583,640939,1087484,
Tanytarsus usmaensis,619,404,323300,79950,373410,103833,891111,102612,265918,337417,149217,318123,163295,18563,1083699,
Telmatogeton japonicus,119,86,900037,44925,439785,253582,946630,45948,117799,212975,356809,536054,7007,201577,1310184,
Temora longicornis,95419,45486,77560,10868,100217,119594,17923,719,15247,6763,1150,17169,7381,394,32544,
Terebella lapidaria,73,64,1999597,363168,453362,1439455,564381,1201979,1104708,976095,1025,52349,1183884,1864422,517097,
Terebellides stroemii,34274,10738,17641,23403,215753,106196,271677,247,6471,127006,1865,1269,547,281288,1373,
Tergipes tergipes,409,314,127699,51657,50607,509247,544073,1011,116539,111597,2931,163965,13310,697415,867951,
Tetrastemma flavidum,7,7,317719,534493,354924,600556,777244,73530,117890,218169,33275,188105,15022,686836,910827,
Tetrastemma robertianae,96,41,945036,396250,299969,600556,803556,6258,113778,207431,118027,229883,9571,686836,1042215,
Thalestris longimana,27,19,791696,438479,342242,607663,941056,2459,114111,209457,158341,339202,9828,695721,1087324,
Thoralus cranchii,292,159,950128,9849,343722,498506,112520,19956,60043,52374,176431,1418,11508,699195,417161,
Torquigener flavimaculosus,90,86,3415717,2249271,3068000,1980949,2262379,2579783,2414123,2436518,2586061,2499742,2518754,2558163,2718997,
Tricellaria inopinata,388,249,563931,45558,287812,944492,201860,505916,657271,548332,119,59239,567145,900707,665727,
Tricellaria ternata,365,205,8165,453290,338189,607384,764510,72455,112040,100334,162619,209287,11553,699287,867110,
Tricolia pullus,2627,2046,1230537,51124,3345,859019,16386,698539,554701,447714,819,1269,660926,1293096,2115,
Trinchesia foliata,125,86,40399,59705,169747,647007,521020,37892,142806,216574,41308,59242,31601,712642,813834,
Trisopterus minutus,7950,5809,4774,3653,214,275157,87904,130,17990,43706,820,3401,4524,674969,16830,
Tubularia indivisa,7356,4974,3989,13494,22969,401348,201860,62,6471,138568,719,9177,8017,683084,179694,
Verruca stroemia,4241,2789,20916,43535,2555,383335,361805,479,6471,123446,716,9557,17672,686126,709959,
Watersipora subtorquata,757,534,2281719,495324,725714,1572885,589670,1433063,1308985,1190181,228641,110800,1404963,2054298,865006,
Zygomolgus dentatus,5,1,7144008,8816103,9172218,7842724,9817982,7877996,7997839,8116900,9234426,9375806,7902716,7265839,10183667,
